CLAVE_ID,PILARES,ALCALDIA,ZONA,MODELO,EQUIPOS 8GB,INACTIVOS,% PASTA,MOUSE,TECLADOS
111_NT_GAM,PUERTO MAZATLÁN,GUSTAVO A. MADERO,NORTE,HP 705,15 / 24,0,0%,0,0
076_IZ_IZP,PURÍSIMA,IZTAPALAPA,ORIENTE,HP 705,5 / 20,2,0%,0,0
235_SU_TLH,QUETZALCÓATL,TLAHUAC,SUR,DELL 5090,40 / 40,0,0%,0,0
284_NT_GAM,RAMÓN CORONA,GUSTAVO A. MADERO,NORTE,HP 705,20 / 29,0,0%,0,0
263_CO_CUH,RATÓN MACÍAS,CUAUHTEMOC,CENTRO,DELL 5000,40 / 40,2,0%,0,0
164_NT_GAM,RAUL ALVAREZ GARIN,GUSTAVO A. MADERO,NORTE,HP 705,20 / 40,2,0%,0,0
192_NT_AZC,REAL DE SAN MARTÍN,AZCAPOTZALCO,NORTE,DELL 5000,38 / 38,0,0%,0,0
176_IZ_IZP,REFORMA POLÍTICA,IZTAPALAPA,ORIENTE,HP 705,11 / 39,2,0%,0,0
053_IZ_IZP,RENOVACIÓN,IZTAPALAPA,ORIENTE,HP 705,6 / 17,4,0%,0,0
140_IZ_IZP,REPÚBLICA FEDERAL,IZTAPALAPA,ORIENTE,HP 705,7 / 40,0,0%,0,0
167_NT_GAM,REVOLUCIÓN,GUSTAVO A. MADERO,NORTE,HP 705,28 / 40,3,0%,0,0
253_SU_XOC,RICARDO FLORES MAGÓN,XOCHIMILCO,SUR,DELL 5090,30 / 30,0,0%,0,0
001_NT_GAM,RICHARD WAGNER,GUSTAVO A. MADERO,NORTE,HP 600,0 / 33,3,0%,0,0
059_CO_IZT,ROJO GÓMEZ,IZTACALCO,CENTRO,HP 705,16 / 16,4,0%,0,0
015_SU_TLH,ROSARIO CASTELLANOS,TLAHUAC,SUR,LENOVO M700,16 / 40,0,0%,0,0
127_PT_AOB,RÍO SAN BORJA,ALVARO OBREGON,PONIENTE,HP 705,5 / 16,0,0%,0,0
071_CO_CUH,RÍO TÍBER,CUAUHTEMOC,CENTRO,HP 705,34 / 34,0,0%,0,0
207_NT_GAM,SALVADOR DÍAZ MIRÓN,GUSTAVO A. MADERO,NORTE,HP 705,28 / 28,0,0%,0,0
254_SU_XOC,SAN ANDRÉS AHUAYUCAN,XOCHIMILCO,SUR,HP 705,20 / 40,2,0%,0,0
226_IZ_IZP,SAN ANDRÉS TETEPILCO,IZTAPALAPA,ORIENTE,HP 705,20 / 40,0,0%,0,0
058_SU_MIA,SAN BARTOLOMÉ XICOMULCO,MILPA ALTA,SUR,HP 705,20 / 26,2,0%,0,0
136_NT_GAM,SAN FELIPE DE JESÚS,GUSTAVO A. MADERO,NORTE,HP 705,5 / 40,0,0%,0,0
296_NT_GAM,SAN FELIPE DE JESÚS II,GUSTAVO A. MADERO,NORTE,HP 705,20 / 33,0,0%,0,0
032_SU_XOC,SAN FRANCISCO TLALNEPANTLA,XOCHIMILCO,SUR,HP 280,0 / 28,0,0%,0,0
099_CO_CUH,SAN FRANCISCO TULTENCO,CUAUHTEMOC,CENTRO,HP 705,19 / 36,1,0%,0,0
025_SU_XOC,SAN GREGORIO ATLAPULCO,XOCHIMILCO,SUR,HP 280,10 / 40,1,0%,0,0
180_SU_MIA,SAN JERÓNIMO MIACATLAN,MILPA ALTA,SUR,HP 705,17 / 17,0,0%,0,0
275_SU_TLH,SAN JOSÉ,TLAHUAC,SUR,DELL 5090,40 / 40,0,0%,0,0
126_SU_TLH,SAN JUAN IXTAYOPAN,TLAHUAC,SUR,HP 705,10 / 36,0,0%,0,0
270_IZ_IZP,SAN JUAN JOYA,IZTAPALAPA,ORIENTE,HP 705,15 / 20,0,0%,0,0
181_SU_MIA,SAN JUAN TEPENAHUAC,MILPA ALTA,SUR,HP 705,10 / 14,0,0%,0,0
155_SU_XOC,SAN JUAN TEPEPAN,XOCHIMILCO,SUR,HP 705,10 / 38,2,0%,0,0
187_SU_XOC,SAN LORENZO ATEMOAYA,XOCHIMILCO,SUR,HP 705,10 / 20,1,0%,0,0
183_SP_TLP,SAN LORENZO HUIPULCO,TLALPAN,SUR PONIENTE,,0 / 0,0,0%,0,0
227_IZ_IZP,SAN LORENZO TEZONCO,IZTAPALAPA,ORIENTE,HP 705,18 / 40,2,0%,0,0
234_SU_MIA,SAN LORENZO TLACOYUCAN,MILPA ALTA,SUR,HP 705,34 / 40,6,0%,0,0
028_SU_XOC,SAN LUCAS XOCHIMANCA,XOCHIMILCO,SUR,HP 280,9 / 40,0,0%,0,0
083_SU_XOC,SAN LUIS TLAXIALTEMALCO,XOCHIMILCO,SUR,HP 705,10 / 34,1,0%,0,0
255_SU_XOC,SAN MARCOS,XOCHIMILCO,SUR,HP 705,29 / 31,2,0%,0,0
